,Date,Start (ET),Visitor/Neutral,Home/Neutral,Arena,Location
402,2024-03-31,7:00p,Golden State Warriors,San Antonio Spurs,Frost Bank Center,"Corpus Christi, TX"
403,2024-03-31,9:00p,Utah Jazz,Sacramento Kings,Golden 1 Center,"Sacramento, CA"
404,2024-04-01,7:00p,Boston Celtics,Charlotte Hornets,Spectrum Center,"Charlotte, NC"
405,2024-04-01,7:00p,Memphis Grizzlies,Detroit Pistons,Little Caesars Arena,"Detroit, MI"
406,2024-04-01,7:00p,Brooklyn Nets,Indiana Pacers,Gainbridge Fieldhouse,"Indianapolis, IN"
407,2024-04-01,7:00p,Portland Trail Blazers,Orlando Magic,Amway Center,"Orlando, FL"
408,2024-04-01,8:00p,Atlanta Hawks,Chicago Bulls,United Center,"Chicago, IL"
409,2024-04-01,8:00p,Phoenix Suns,New Orleans Pelicans,Smoothie King Center,"New Orleans, LA"
410,2024-04-02,7:00p,Los Angeles Lakers,Toronto Raptors,Scotiabank Arena,"Toronto, ON"
411,2024-04-02,7:00p,Milwaukee Bucks,Washington Wizards,Capital One Arena,"Washington, DC"
412,2024-04-02,7:30p,New York Knicks,Miami Heat,Kaseya Center,"Miami, FL"
